,make_id,make_name
0,1,Acura
1,24,Alfa Romeo
2,44,Aston Martin
3,2,Audi
4,25,Bentley
5,3,BMW
6,4,Buick
7,5,Cadillac
8,6,Chevrolet
9,26,Chrysler
10,27,Dodge
11,28,FIAT
12,29,Ford
13,7,Genesis
14,8,GMC
15,9,Honda
16,10,Hyundai
17,11,INFINITI
18,12,Jaguar
19,30,Jeep
20,31,Karma
21,13,Kia
22,32,Lamborghini
23,14,Land Rover
24,33,Lexus
25,15,Lincoln
26,45,Lotus
27,35,Maserati
28,16,Mazda
29,36,McLaren
30,37,Mercedes-Benz
31,17,MINI
32,18,Mitsubishi
33,19,Nissan
34,20,Polestar
35,38,Porsche
36,39,Ram
37,41,Rolls-Royce
38,21,Subaru
39,42,Tesla
40,22,Toyota
41,43,Volkswagen
42,23,Volvo
